goos: linux
goarch: amd64
pkg: rate-limiter/policies
cpu: Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 9469314	       165.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 8817363	       167.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6918351	       177.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6911433	       157.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 9267175	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 9150026	       136.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 8381461	       141.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 8816190	       129.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 9052204	       153.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 8465115	       147.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7867374	       156.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7610341	       162.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7644662	       147.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7807128	       147.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6127713	       195.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6280210	       209.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6210018	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6231777	       181.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6666937	       176.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5199812	       235.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5074065	       242.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5220860	       231.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5197516	       233.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5152506	       230.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 7808026	       152.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 7507670	       164.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 6979798	       158.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 7584918	       161.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 8167686	       147.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	10299100	       129.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	10188645	       107.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	11044233	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	 9503736	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	10087728	       138.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-4      	 9596637	       130.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-4      	 8487765	       120.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-4      	 9109915	       121.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-4      	 9903591	       111.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-4      	 6557107	       155.7 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	rate-limiter/policies	129.002s
